image,frame,gt_dim,iou50_005,center16_low,max_iou_005,max_iou_conf_005,max_iou_low,max_iou_conf_low,nearest_dist,nearest_conf,preds_005,preds_low
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000021.jpg,000021,6.532,False,True,0.00000,0.00000,0.47094,0.00134,0.769,0.00217,1,16
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000022.jpg,000022,5.818,False,False,0.00000,0.00000,0.00000,0.00000,158.417,0.00281,0,13
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000023.jpg,000023,7.146,False,True,0.37368,0.08549,0.55522,0.02557,1.106,0.02557,2,16
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000024.jpg,000024,6.705,True,True,0.57316,0.19435,0.57316,0.19435,1.464,0.12467,3,17
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000025.jpg,000025,7.070,True,True,0.64725,0.63928,0.64725,0.63928,0.654,0.63928,2,5
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000027.jpg,000027,6.824,False,False,0.00000,0.00000,0.00000,0.00000,259.540,0.00188,1,17
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000028.jpg,000028,6.638,True,True,0.52687,0.52486,0.52687,0.52486,0.929,0.52486,3,12
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000029.jpg,000029,7.132,False,True,0.46741,0.53738,0.73341,0.00753,0.415,0.53738,2,22
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000030.jpg,000030,6.599,False,True,0.00000,0.00000,0.47730,0.00186,0.504,0.00186,0,13
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000031.jpg,000031,6.711,False,True,0.36103,0.77261,0.36103,0.77261,0.413,0.77261,1,2
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000032.jpg,000032,6.875,True,True,0.51784,0.65378,0.51784,0.65378,0.174,0.65378,1,4
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000033.jpg,000033,6.638,False,True,0.45669,0.68471,0.67903,0.00349,0.030,0.00349,1,4
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000034.jpg,000034,7.245,True,True,0.57269,0.75922,0.57269,0.75922,0.914,0.75922,1,1
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000035.jpg,000035,6.787,True,True,0.52682,0.65976,0.52682,0.65976,0.736,0.11222,2,5
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000036.jpg,000036,7.361,True,True,0.71320,0.71021,0.71320,0.71021,0.651,0.71021,1,1
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000037.jpg,000037,6.409,True,True,0.56836,0.57113,0.67882,0.00104,0.306,0.57113,1,6
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000038.jpg,000038,6.993,False,True,0.49822,0.65587,0.49822,0.65587,0.308,0.65587,1,6
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000039.jpg,000039,6.640,True,True,0.68654,0.63728,0.68654,0.63728,0.729,0.63728,1,2
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000040.jpg,000040,6.874,True,True,0.56686,0.33902,0.65195,0.00230,0.893,0.33902,1,13
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000041.jpg,000041,6.758,False,True,0.00000,0.00000,0.49988,0.02015,0.641,0.02015,1,21
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000042.jpg,000042,6.762,False,True,0.45268,0.69839,0.45268,0.69839,0.089,0.69839,1,4
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000043.jpg,000043,6.560,False,True,0.43760,0.43275,0.43760,0.43275,0.253,0.02266,1,8
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000044.jpg,000044,6.497,True,True,0.52632,0.10336,0.52632,0.10336,0.867,0.00104,2,13
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000045.jpg,000045,6.708,False,True,0.37495,0.70642,0.37495,0.70642,0.406,0.70642,1,3
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000046.jpg,000046,6.651,True,True,0.57793,0.17121,0.57793,0.17121,0.796,0.04213,2,12
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000047.jpg,000047,6.906,False,True,0.47470,0.55381,0.47470,0.55381,0.351,0.55381,1,9
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000048.jpg,000048,6.582,False,True,0.49993,0.59056,0.49993,0.59056,1.316,0.59056,1,1
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000049.jpg,000049,6.666,True,True,0.63242,0.23255,0.63242,0.23255,0.634,0.15255,2,7
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000050.jpg,000050,6.763,True,True,0.54696,0.43224,0.54696,0.43224,0.301,0.00975,2,18
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000051.jpg,000051,6.647,False,True,0.41777,0.70065,0.41777,0.70065,0.453,0.70065,1,2
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000052.jpg,000052,6.843,True,True,0.64187,0.33670,0.64187,0.33670,0.259,0.17309,2,4
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000053.jpg,000053,6.801,True,True,0.50741,0.69390,0.50741,0.69390,0.297,0.69390,1,3
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000054.jpg,000054,7.016,False,True,0.49766,0.69859,0.49766,0.69859,0.350,0.69859,1,2
tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000055.jpg,000055,6.732,True,True,0.61609,0.32125,0.61609,0.32125,0.913,0.25215,2,4
