center16_conf_0_05,center16_conf_0_25,center32_conf_0_05,center32_conf_0_25,dataset,gt_h,gt_max_dim,gt_w,gt_xc,gt_yc,height,image,iou10_conf,iou30_conf,iou30_conf_0_05,iou30_conf_0_25,iou50_conf,iou50_conf_0_05,iou50_conf_0_25,lowconf_center16,lowconf_center32,lowconf_iou10,lowconf_iou30,lowconf_iou50,max_iou,max_iou_conf,model,near16_conf,near32_conf,num_preds_low_conf,one2one_s16_score_center,one2one_s16_score_global_max,one2one_s16_score_local_max3,one2one_s16_score_percentile3,one2one_s32_score_center,one2one_s32_score_global_max,one2one_s32_score_local_max3,one2one_s32_score_percentile3,one2one_s8_score_center,one2one_s8_score_global_max,one2one_s8_score_local_max3,one2one_s8_score_percentile3,session,width
False,False,False,False,fixed_exposure,6.531840000000001,6.531840000000001,6.53184,2314.1567999999997,1213.42968,2160,tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000021.jpg,0.0,0.0,False,False,0.0,False,False,False,False,False,False,False,0.0,0.0,non_p2,0.0,0.0,0,3.57196286437933e-11,2.7589680030359887e-05,1.1414034162271491e-07,99.63348765432099,7.863924821318257e-16,2.3838556129085475e-11,2.65907359065648e-15,92.12962962962963,1.6345983455678947e-09,0.00011500539403641596,3.721045516158483e-08,88.2667824074074,20260707_141324_cam1,3840
False,False,False,False,fixed_exposure,5.81688,5.8176000000000005,5.8176000000000005,2305.1711999999998,1185.17256,2160,tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000022.jpg,0.0,0.0,False,False,0.0,False,False,False,False,False,False,False,0.0,0.01666327379643917,non_p2,0.0,0.0,2,7.843976163046662e-11,9.829831469687633e-06,3.068289089469545e-08,98.97762345679013,3.572446158339737e-15,3.4649008662235303e-10,3.572446158339737e-15,93.98148148148148,1.7253121598059806e-08,0.01666327379643917,8.497792691741779e-08,89.55922067901234,20260707_141324_cam1,3840
False,False,False,False,fixed_exposure,7.1452800000000005,7.14624,7.14624,2295.50976,1158.83784,2160,tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000023.jpg,0.0,0.0,False,False,0.0,False,False,False,False,False,False,False,0.0,0.012241875752806664,non_p2,0.0,0.0,2,7.639557431105004e-09,3.566377245078911e-06,4.475127468595019e-08,99.20910493827161,7.726722953917597e-16,7.082483211018342e-11,3.075743285212737e-15,89.89197530864197,2.305127644319782e-08,0.012241874821484089,2.6796681140695e-07,89.59297839506173,20260707_141324_cam1,3840
False,False,False,False,fixed_exposure,6.70464,6.70464,6.7046399999999995,2286.37056,1134.1404,2160,tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000024.jpg,0.0,0.0,False,False,0.0,False,False,False,False,False,False,False,0.0,0.0,non_p2,0.0,0.0,0,9.420853680497387e-11,2.7299645353195956e-06,1.8096460996375185e-09,91.08796296296296,4.329607639340935e-15,1.7324000567420228e-10,4.329607639340935e-15,95.13888888888889,0.00025888782693073153,0.0005246105720289052,0.0005246105720289052,100.0,20260707_141324_cam1,3840
False,False,False,False,fixed_exposure,7.06968,7.06968,6.22464,2277.10848,1110.68928,2160,tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000025.jpg,0.0,0.0,False,False,0.0,False,False,False,False,False,False,False,0.0,0.004438505508005619,non_p2,0.0,0.0,1,2.385736719290321e-09,6.423777449526824e-06,5.445871309461836e-09,96.23842592592592,7.273121891426596e-20,2.7007177050286657e-10,2.8159004702911928e-15,93.3641975308642,5.672988120930533e-11,0.004438505508005619,4.373895023945806e-09,70.42824074074075,20260707_141324_cam1,3840
False,False,False,False,fixed_exposure,6.82344,6.8236799999999995,6.8236799999999995,2259.29088,1068.23232,2160,tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000027.jpg,0.0,0.0,False,False,0.0,False,False,False,False,False,False,False,0.0,0.0,non_p2,0.0,0.0,0,1.943715506472557e-13,1.4340594134409912e-05,1.9520948413287442e-08,98.39891975308642,1.7774405916005844e-26,8.158732717200579e-11,9.11819283793102e-19,52.54629629629629,2.2640842534116246e-09,0.00032619808916933835,3.2188776089014937e-08,85.69637345679013,20260707_141324_cam1,3840
True,True,True,True,fixed_exposure,6.6376800000000005,6.6376800000000005,6.21312,2251.18848,1049.06664,2160,tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000028.jpg,0.6494249105453491,0.6494249105453491,True,True,0.0,False,False,True,True,True,True,False,0.3869405487233601,0.6494249105453491,non_p2,0.6494249105453491,0.6494249105453491,1,1.500980416346831e-11,0.00021310767624527216,6.586049039469799e-09,96.12268518518519,2.9988587398651744e-16,2.5931597147366148e-11,8.442301999351306e-15,96.29629629629629,1.2881614178117395e-11,0.6494249105453491,0.6494249105453491,100.0,20260707_141324_cam1,3840
False,False,False,False,fixed_exposure,7.13232,7.13232,6.40512,2243.0592,1030.9917599999999,2160,tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000029.jpg,0.0,0.0,False,False,0.0,False,False,False,False,False,False,False,0.0,0.0049457368440926075,non_p2,0.0,0.0,3,1.4587019092626718e-10,2.878726718336111e-06,1.84190510066351e-10,71.64351851851852,5.046663685441559e-25,7.965115372821074e-11,3.037252361084048e-17,60.339506172839506,2.7741925423541147e-10,0.004945737309753895,8.489866587524375e-09,67.41898148148148,20260707_141324_cam1,3840
False,False,False,False,fixed_exposure,6.5988,6.5988,6.1824,2234.4576,1014.19344,2160,tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000030.jpg,0.0,0.0,False,False,0.0,False,False,False,False,False,False,False,0.0,0.0036968376953154802,non_p2,0.0,0.0,1,1.3972221817037944e-11,2.204477596023935e-06,2.1043149445176823e-07,99.84567901234568,4.835954623573951e-26,2.423356237901686e-10,2.6406331539991618e-17,67.28395061728395,3.2638926283912184e-11,0.0036968376953154802,2.826872425032434e-08,83.35262345679013,20260707_141324_cam1,3840
True,True,True,True,fixed_exposure,6.71112,6.71112,6.013439999999999,2226.4550400000003,998.78616,2160,tools/yolo/workspace/runs/fixed_exposure_traditional_roi_3000_20260707/images/raw_fixed/fixed__20260707_141324_cam1_frame_000031.jpg,0.577261745929718,0.577261745929718,True,True,0.0,False,False,True,True,True,True,False,0.3893520763971078,0.577261745929718,non_p2,0.577261745929718,0.577261745929718,3,1.6405248687290097e-11,1.1099908078904264e-05,4.607258130562286e-09,95.3317901234568,1.4862036916150402e-15,1.6764885313325095e-10,1.8588409078038742e-15,85.41666666666666,2.4958731955848634e-05,0.577261745929718,0.577261745929718,100.0,20260707_141324_cam1,3840
